,Benchmark,Size,Solver,Solver Version,Solver Release Year,Status,Termination Condition,Runtime (s),Memory Usage (MB),Objective Value,Max Integrality Violation,Duality Gap,Reported Runtime (s),Timeout,Hostname,Run ID,Timestamp,VM Instance Type,VM Zone,Solver benchmark version,bench-size,solver-version
0,pypsa-de-elec-uc,50-48h,gurobi,13.0.0,2025.0,OOM,Out of Memory,,,,,,,86400.0,benchmark-instance-pypsa-de-elec-uc-48h-00,20260402-pypsa-de-elec-uc-48h,2026-04-02 15:51:49.563683,c4-highmem-8,us-central1-a,c423557,pypsa-de-elec-uc-50-48h,gurobi-13.0.0
2,pypsa-de-elec-uc,50-48h,highs,1.12.0,2025.0,TO,Timeout,86400.0,6484.26,,,,86400.0,86400.0,benchmark-instance-pypsa-de-elec-uc-48h-00,20260402-pypsa-de-elec-uc-48h,2026-04-03 08:36:39.252273,c4-highmem-8,us-central1-a,c423557,pypsa-de-elec-uc-50-48h,highs-1.12.0
4,pypsa-de-elec-uc,20-48h,gurobi,13.0.0,2025.0,OOM,Out of Memory,,,,,,,86400.0,benchmark-instance-pypsa-de-elec-uc-48h-01,20260402-pypsa-de-elec-uc-48h,2026-04-02 15:51:39.277853,c4-highmem-8,us-central1-a,c423557,pypsa-de-elec-uc-20-48h,gurobi-13.0.0
6,pypsa-de-elec-uc,20-48h,highs,1.12.0,2025.0,TO,Timeout,86400.0,14966.464,,,,86400.0,86400.0,benchmark-instance-pypsa-de-elec-uc-48h-01,20260402-pypsa-de-elec-uc-48h,2026-04-03 01:02:23.547759,c4-highmem-8,us-central1-a,c423557,pypsa-de-elec-uc-20-48h,highs-1.12.0
8,pypsa-de-elec-uc,20-48h,scip,10.0.0,2025.0,TO,Timeout,86400.0,7512.736,,,,86400.0,86400.0,benchmark-instance-pypsa-de-elec-uc-48h-01,20260402-pypsa-de-elec-uc-48h,2026-04-04 01:06:02.576663,c4-highmem-8,us-central1-a,c423557,pypsa-de-elec-uc-20-48h,scip-10.0.0
10,pypsa-de-elec-uc,8-48h,gurobi,13.0.0,2025.0,OOM,Out of Memory,,,,,,,86400.0,benchmark-instance-pypsa-de-elec-uc-48h-03,20260402-pypsa-de-elec-uc-48h,2026-04-02 15:51:20.554582,c4-highmem-8,us-central1-a,c423557,pypsa-de-elec-uc-8-48h,gurobi-13.0.0
12,pypsa-de-elec-uc,8-48h,highs,1.12.0,2025.0,TO,Timeout,86400.0,54199.492,,,,86400.0,86400.0,benchmark-instance-pypsa-de-elec-uc-48h-03,20260402-pypsa-de-elec-uc-48h,2026-04-02 19:58:59.257119,c4-highmem-8,us-central1-a,c423557,pypsa-de-elec-uc-8-48h,highs-1.12.0
14,pypsa-de-elec-uc,8-48h,scip,10.0.0,2025.0,TO,Timeout,86400.0,6172.996,,,,86400.0,86400.0,benchmark-instance-pypsa-de-elec-uc-48h-03,20260402-pypsa-de-elec-uc-48h,2026-04-03 20:02:32.398138,c4-highmem-8,us-central1-a,c423557,pypsa-de-elec-uc-8-48h,scip-10.0.0
16,pypsa-de-elec-uc,10-48h,gurobi,13.0.0,2025.0,ok,optimal,8681.366502399,32287.54,4861542314.536765,0.0,9.998794319421784e-05,8680.770284175873,86400.0,benchmark-instance-pypsa-de-elec-uc-48h-02,20260402-pypsa-de-elec-uc-48h,2026-04-02 15:51:58.327820,c4-highmem-8,us-central1-a,c423557,pypsa-de-elec-uc-10-48h,gurobi-13.0.0
18,pypsa-de-elec-uc,10-48h,highs,1.12.0,2025.0,TO,Timeout,86400.0,56673.236,,,,86400.0,86400.0,benchmark-instance-pypsa-de-elec-uc-48h-02,20260402-pypsa-de-elec-uc-48h,2026-04-02 18:20:24.476293,c4-highmem-8,us-central1-a,c423557,pypsa-de-elec-uc-10-48h,highs-1.12.0
