,Benchmark,Size,Solver,Solver Version,Solver Release Year,Status,Termination Condition,Runtime (s),Memory Usage (MB),Objective Value,Max Integrality Violation,Duality Gap,Reported Runtime (s),Timeout,Hostname,Run ID,Timestamp,bench-size
0,genx-elec_trex,15-168h,highs-hipo-64,1.12.0-hipo,2025.0,TO,Timeout,36000.0,166.576,,,,36000.0,36000.0,benchmark-instance-old-l-size-highs-hipo-64-00,20251027_140932_batch,2025-10-27 14:25:41.922556,genx-elec_trex-15-168h
1,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,237.43122511100228,,2813303766.2,,,,,benchmark-instance-old-l-size-highs-hipo-64-00,20251027_140932_batch,2025-10-28 00:29:39.389499,reference-benchmark-reference
2,genx-elec_trex_co2,15-168h,highs-hipo-64,1.12.0-hipo,2025.0,TO,Timeout,36000.0,166.484,,,,36000.0,36000.0,benchmark-instance-old-l-size-highs-hipo-64-01,20251027_140932_batch,2025-10-27 14:25:53.689339,genx-elec_trex_co2-15-168h
3,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,224.48075652999975,,2813303766.2,,,,,benchmark-instance-old-l-size-highs-hipo-64-01,20251027_140932_batch,2025-10-28 00:29:38.202944,reference-benchmark-reference
4,genx-elec_trex_uc,15-24h,highs-hipo-64,1.12.0-hipo,2025.0,TO,Timeout,36000.0,165.592,,,,36000.0,36000.0,benchmark-instance-old-l-size-highs-hipo-64-02,20251027_140932_batch,2025-10-27 14:25:23.342011,genx-elec_trex_uc-15-24h
5,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,236.3135693830045,,2813303766.2,,,,,benchmark-instance-old-l-size-highs-hipo-64-02,20251027_140932_batch,2025-10-28 00:29:20.053310,reference-benchmark-reference
6,genx-elec_co2,15-168h,highs-hipo-64,1.12.0-hipo,2025.0,TO,Timeout,36000.0,165.564,,,,36000.0,36000.0,benchmark-instance-old-l-size-highs-hipo-64-03,20251027_140932_batch,2025-10-27 14:25:39.836606,genx-elec_co2-15-168h
7,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,235.268986092,,2813303766.2,,,,,benchmark-instance-old-l-size-highs-hipo-64-03,20251027_140932_batch,2025-10-28 00:29:35.144383,reference-benchmark-reference
8,tulipa-1_EU_investment_simple,28-1h,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,12918.977990564,21838.044,10113645948.0,,,12918.977990564,36000.0,benchmark-instance-old-l-size-highs-hipo-64-04,20251027_140932_batch,2025-10-27 14:25:42.372270,tulipa-1_EU_investment_simple-28-1h
9,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,254.5798426199999,,2813303766.2,,,,,benchmark-instance-old-l-size-highs-hipo-64-04,20251027_140932_batch,2025-10-27 18:05:16.629719,reference-benchmark-reference
10,temoa-US_9R_TS,9-12,highs-hipo-64,1.12.0-hipo,2025.0,ok,Optimal,4722.060926876,6417.596,38368452.637,,,4722.060926876,36000.0,benchmark-instance-old-l-size-highs-hipo-64-05,20251027_140932_batch,2025-10-27 14:25:51.916976,temoa-US_9R_TS-9-12
11,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,237.55104035000025,,2813303766.2,,,,,benchmark-instance-old-l-size-highs-hipo-64-05,20251027_140932_batch,2025-10-27 15:48:32.232696,reference-benchmark-reference
12,temoa-US_9R_TS_NDC,9-12,highs-hipo-64,1.12.0-hipo,2025.0,warning,Unknown,5020.940664832,6422.536,36969259.966,,,5020.940664832,36000.0,benchmark-instance-old-l-size-highs-hipo-64-06,20251027_140932_batch,2025-10-27 14:25:43.685536,temoa-US_9R_TS_NDC-9-12
13,reference-benchmark,reference,highs-binary,1.10.0,,OK,Optimal,232.5599497589992,,2813303766.2,,,,,benchmark-instance-old-l-size-highs-hipo-64-06,20251027_140932_batch,2025-10-27 15:53:17.890900,reference-benchmark-reference
