bench-size,solver-version,Runtime (s),Reported Runtime (s),runtime-difference,runtime-difference-%,Num. variables,Num. constraints,bench-size-category
TIMES-GEO-global-netzero-31-20ts,gurobi-13.0.0,30621.769837542,30590.7080180645,31.061819477501558,0.10143704835577487,5422595,5063755,L
pypsa-de-elec-50-1h,gurobi-13.0.0,2989.140083293,2923.996409893036,65.14367339996397,2.1793449482032354,8637885,18370417,L
temoa-US_9R_TS-9-12ts,gurobi-13.0.0,190.656273,172.03110599517822,18.625167004821776,9.768976762082083,1801794,1594079,L
temoa-US_9R_TS-9-12ts,highs-hipo-1.12.0-hipo,3181.154350677,3181.154350677,0.0,0.0,1801794,1594079,L
temoa-US_9R_TS-9-12ts,highs-ipx-1.12.0-hipo,3388.8018794049995,3388.8018794049995,0.0,0.0,1801794,1594079,L
temoa-US_9R_TS-9-12ts,highs-1.12.0,13094.096341464005,13064.423545598984,29.672795865020817,0.22661201728796207,1801794,1594079,L
times-ireland-noco2-counties-26-1ts,gurobi-13.0.0,97.490335517,92.13439798355104,5.355937533448966,5.4938138278486255,1235884,873805,L
times-ireland-noco2-counties-26-1ts,highs-hipo-1.12.0-hipo,725.1770573169999,725.1770573169999,0.0,0.0,1235884,873805,L
times-ireland-noco2-counties-26-1ts,highs-1.12.0,4921.829970901999,4916.250006198883,5.579964703116275,0.11337174864034692,1235884,873805,L
pypsa-de-elec-dfp-50-1h,gurobi-13.0.0,3964.298018617,3888.1629550457,76.13506357129972,1.9205181652276608,8637885,18370417,L
pypsa-de-elec-trex_copt-50-1h,gurobi-13.0.0,6240.9616968440005,6163.423426151276,77.53827069272484,1.242409014173813,8638003,18370653,L
times-etimeseu-europe-elec+heat-co2-multi_stage-29-64ts,gurobi-13.0.0,1252.953661009,1237.1074509620669,15.846210046933038,1.2647083878722325,2729949,2720786,L
temoa-US_9R_TS_NZ-9-12ts,gurobi-13.0.0,225.330826972,205.2316770553589,20.099149916641124,8.919840301805966,1801794,1594085,L
temoa-US_9R_TS_NZ-9-12ts,highs-hipo-1.12.0-hipo,4389.935354099,4389.935354099,0.0,0.0,1801794,1594085,L
temoa-US_9R_TS_NZ-9-12ts,highs-ipx-1.12.0-hipo,3909.625548767999,3909.625548767999,0.0,0.0,1801794,1594085,L
temoa-US_9R_TS_NZ-9-12ts,highs-1.12.0,30486.354940897,30453.060187339783,33.29475355721661,0.10921198556457197,1801794,1594085,L
SWITCH-USA-PG-26-168h,gurobi-13.0.0,433.828678866,408.68771481513977,25.140964050860248,5.795136484885484,3989071,4022362,L
SWITCH-USA-PG-26-168h,highs-hipo-1.12.0-hipo,23276.629933775,23276.629933775,0.0,0.0,3989071,4022362,L
SWITCH-USA-PG-26-168h,highs-ipx-1.12.0-hipo,65302.64692829801,65302.64692829801,0.0,0.0,3989071,4022362,L
genx-elec_trex_uc-15-24h,gurobi-13.0.0,521.171259391,506.7069919109345,14.46426748006553,2.775338666404464,2551346,3123898,L
pypsa-de-elec-trex_copt-dfp-50-1h,gurobi-13.0.0,6427.922898286,6350.266633033752,77.65626525224798,1.2081082253328668,8638003,18370653,L
TIMES-GEO-global-base-31-20ts,gurobi-13.0.0,1857.266919563,1813.8951041698456,43.37181539315452,2.335249442948112,6449851,6027253,L
tulipa-1_EU_investment_simple-28-1h,gurobi-13.0.0,167.71098481299998,160.93845200538635,6.772532807613629,4.03821658740189,1619451,2429440,L
tulipa-1_EU_investment_simple-28-1h,highs-1.12.0,11019.358296195,11007.422449350355,11.935846844644402,0.10831707730899237,1619451,2429440,L
tulipa-1_EU_investment_simple-28-1h,scip-10.0.0,16140.934750984,16124.408428,16.526322984000217,0.10238764507113023,1619451,2429440,L
tulipa-1_EU_investment_simple-28-1h,cbc-2.10.12,59915.84466978101,59888.93,26.914669781006523,0.04492078836465296,1619451,2429440,L
temoa-US_9R_TS_NDC-9-12ts,gurobi-13.0.0,220.89616504,203.66050696372983,17.23565807627017,7.802606293843592,1801794,1594091,L
temoa-US_9R_TS_NDC-9-12ts,highs-hipo-1.12.0-hipo,4324.185409194,4324.185409194,0.0,0.0,1801794,1594091,L
temoa-US_9R_TS_NDC-9-12ts,highs-ipx-1.12.0-hipo,3478.7931881940003,3478.7931881940003,0.0,0.0,1801794,1594091,L
temoa-US_9R_TS_NDC-9-12ts,highs-1.12.0,38201.350731949,38172.46753025055,28.883201698452467,0.07560780219819957,1801794,1594091,L
times-ireland-noco2-40-1ts,gurobi-13.0.0,1910.970202057,1887.776063919068,23.194138137931986,1.2137362536038203,4534121,4809283,L
pypsa-de-elec-trex_vopt-dfp-50-1h,gurobi-13.0.0,5640.111624116999,5575.678267002106,64.43335711489362,1.1424127997640674,8638003,18370653,L
genx-elec_co2-15-168h,gurobi-13.0.0,5576.189089799999,5497.275903940201,78.91318585979843,1.415181310909039,13777201,11832633,L
pypsa-de-elec-trex_vopt-50-1h,gurobi-13.0.0,6804.248935811,6732.91751909256,71.33141671843987,1.0483363761578464,8638003,18370653,L
times-etimeseu-europe-elec+heat-multi_stage-29-64ts,gurobi-13.0.0,838.235821624,824.1415910720825,14.094230551917462,1.6814159199986547,2729679,2720516,L
temoa-US_9R_TS_SP-9-12ts,gurobi-13.0.0,225.991818331,209.4234640598297,16.56835427117028,7.331395620218144,1801794,1594116,L
temoa-US_9R_TS_SP-9-12ts,highs-hipo-1.12.0-hipo,3941.397949973,3941.397949973,0.0,0.0,1801794,1594116,L
temoa-US_9R_TS_SP-9-12ts,highs-ipx-1.12.0-hipo,3072.2876267290003,3072.2876267290003,0.0,0.0,1801794,1594116,L
temoa-US_9R_TS_SP-9-12ts,highs-1.12.0,17260.556578112002,17230.852392196655,29.704185915346898,0.17209286259641582,1801794,1594116,L
genx-elec_trex-15-168h,gurobi-13.0.0,5697.515179407,5613.121881008148,84.39329839885158,1.4812299000778666,13777226,11832658,L
genx-elec_trex_co2-15-168h,gurobi-13.0.0,9878.019462512,9782.39368391037,95.62577860163037,0.9680663109091764,13777227,11832689,L
genx-6_three_zones_w_multistage-3-1h,gurobi-10.0.0,34.48020775599798,33.672024965286255,0.8081827907117258,2.343903483502471,127636,171944,M
OEMOF-v4-invest-optimize-all-technologies-with-fossil-share-1-8760ts,gurobi-10.0.0,11.928412009998285,10.93891191482544,0.9895000951728452,8.295321240945192,78851,78851,M
OEMOF-v4-invest-optimize-all-technologies-with-fossil-share-1-8760ts,highs-1.5.0.dev0,22.26853258100164,21.564255237579346,0.7042773434222944,3.1626571749193184,78851,78851,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day332-73-1h,gurobi-10.0.0,43.41317720900042,43.30632901191712,0.10684819708330195,0.24611927518898613,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day332-73-1h,highs-1.5.0.dev0,1460.1957058629996,1460.040866613388,0.15483924961154116,0.010604006640331039,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day332-73-1h,scip-8.0.3,1245.4584510190034,1245.296434,0.162017019003315,0.01300862496623285,19392,25080,M
times-nz-kea-2-24ts,gurobi-10.0.0,430.7562270579947,428.6914098262787,2.064817231716006,0.47934704178705007,202797,300078,M
times-nz-kea-2-24ts,highs-1.5.0.dev0,162.7172146840021,160.18701148033142,2.5302032036706805,1.5549695885492827,202797,300078,M
times-nz-kea-2-24ts,scip-8.0.3,2903.649966063,2901.482578,2.1673880630000895,0.07464357234280573,202797,300078,M
pypsa-power+ely-ucgas-mod-1-1h,gurobi-10.0.0,15.382767312999931,14.673327922821043,0.709439390178888,4.61191004026527,87607,157687,M
pypsa-power+ely-ucgas-mod-1-1h,highs-1.5.0.dev0,55.317200778998085,54.49222040176392,0.8249803772341622,1.4913632027949197,87607,157687,M
pypsa-power+ely-ucgas-mod-1-1h,scip-8.0.3,107.11599675400066,106.217625,0.8983717540006637,0.838690560910185,87607,157687,M
DCOPF-Carolinas_2M-997-1h,gurobi-10.0.0,6.226804379999521,4.843773126602173,1.3830312533973483,22.21093146654231,122017,199255,M
DCOPF-Carolinas_2M-997-1h,highs-1.5.0.dev0,12.488257384000462,11.085866212844849,1.4023911711556138,11.229678633564284,122017,199255,M
DCOPF-Carolinas_2M-997-1h,scip-8.0.3,99.9707729849979,98.589301,1.3814719849978871,1.3818758660645722,122017,199255,M
genx-6_three_zones_w_multistage-3-1h,gurobi-11.0.0,42.40850093000336,41.69086003303528,0.717640896968085,1.6922100079712203,127636,171944,M
OEMOF-v4-invest-optimize-all-technologies-with-fossil-share-1-8760ts,gurobi-11.0.0,11.942999545994098,10.979605197906494,0.9633943480876042,8.066602903043266,78851,78851,M
OEMOF-v4-invest-optimize-all-technologies-with-fossil-share-1-8760ts,highs-1.6.0.dev0,22.13648616100545,21.4089150428772,0.7275711181282496,3.2867507193165246,78851,78851,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day332-73-1h,gurobi-11.0.0,90.50127264100593,90.4127049446106,0.08856769639533013,0.09786348170666533,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day332-73-1h,highs-1.6.0.dev0,1434.4361922509995,1434.3378193378448,0.09837291315466246,0.006857949742629545,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day332-73-1h,scip-8.1.0,1247.814259591003,1247.672814,0.14144559100304832,0.011335468393301582,19392,25080,M
times-nz-kea-2-24ts,gurobi-11.0.0,443.3314512210054,441.6048240661621,1.7266271548432996,0.3894664251967447,202797,300078,M
times-nz-kea-2-24ts,highs-1.6.0.dev0,157.96073879399046,156.27288579940796,1.6878529945824994,1.068526905779902,202797,300078,M
times-nz-kea-2-24ts,scip-8.1.0,2921.6316149589984,2919.765963,1.8656519589985692,0.0638565091316193,202797,300078,M
pypsa-power+ely-ucgas-mod-1-1h,gurobi-11.0.0,14.07539990299847,13.052914142608644,1.0224857603898254,7.2643460749701765,87607,157687,M
pypsa-power+ely-ucgas-mod-1-1h,highs-1.6.0.dev0,54.767801456007874,54.08712601661682,0.6806754393910524,1.242838714162743,87607,157687,M
pypsa-power+ely-ucgas-mod-1-1h,scip-8.1.0,106.94684191899432,106.176217,0.7706249189943293,0.7205681861817205,87607,157687,M
pypsa-power+ely-ucgas-mod-1-1h,cbc-2.10.11,36.13705998100341,35.46,0.6770599810034099,1.8735890007635596,87607,157687,M
DCOPF-Carolinas_2M-997-1h,gurobi-11.0.0,5.96344220598985,4.826152086257935,1.1372901197319152,19.071034487256185,122017,199255,M
DCOPF-Carolinas_2M-997-1h,highs-1.6.0.dev0,11.968032037999365,10.57547402381897,1.3925580141803948,11.635647446120823,122017,199255,M
DCOPF-Carolinas_2M-997-1h,scip-8.1.0,99.61462296100215,98.402324,1.212298961002162,1.2169889570096164,122017,199255,M
genx-6_three_zones_w_multistage-3-1h,gurobi-12.0.0,33.4549107280036,32.734111070632935,0.7207996573706623,2.1545406688749984,127636,171944,M
OEMOF-v4-invest-optimize-all-technologies-with-fossil-share-1-8760ts,gurobi-12.0.0,11.79645368999627,10.999249935150146,0.797203754846123,6.757995036441966,78851,78851,M
OEMOF-v4-invest-optimize-all-technologies-with-fossil-share-1-8760ts,highs-1.9.0,22.351123757995083,21.57922124862671,0.771902509368374,3.4535288593364863,78851,78851,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day332-73-1h,gurobi-12.0.0,128.53761752600258,128.44605898857117,0.09155853743141051,0.0712309277187969,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day332-73-1h,highs-1.9.0,2520.487687023997,2520.315236806869,0.17245021712778907,0.0068419384873649345,19392,25080,M
